Row,Name,PlaceName,Map
721,e0170,Amdapor Keep,Amdapor Keep (Hard)
722,e0171,The Lost City of Amdapor,The Lost City of Amdapor (Hard)
723,e0167,The Azim Steppe,The Azim Steppe
724,z3e1,The Interdimensional Rift,The Interdimensional Rift
725,o3c1_2,The Lost Canals of Uznair,The Lost Canals of Uznair
726,e0166,The Ruby Sea,The Ruby Sea
727,g3e4,The Royal Menagerie,The Royal Menagerie
728,z1ea,Mordion Gaol,Mordion Gaol
729,d2p1,Astragalos,Astragalos
730,g3fc,Transparency,Transparency
731,,0,0
732,z3fa,Eureka Anemos,Eureka Anemos
733,f1bz,The Binding Coil of Bahamut,The Binding Coil of Bahamut
734,z3r1,The Royal City of Rabanastre,The Royal City of Rabanastre
735,z3e2,The <italic(1)>Prima Vista<italic(0)> Tiring Room,The <italic(1)>Prima Vista<italic(0)> Tiring Room
736,z3e3,The <italic(1)>Prima Vista<italic(0)> Bridge,The <italic(1)>Prima Vista<italic(0)> Bridge
737,g3d2_event,Royal Palace,The Hall of the Griffin
738,g3e6,The Resonatorium,The Resonatorium
739,e3eb,The Doman Enclave,The Doman Enclave
740,g3e4_2,The Royal Menagerie,The Royal Menagerie
741,f1e9,Sanctum of the Twelve,Valentione's Ceremony
742,e3d5,Hells' Lid,Hells' Lid
743,a2d4,The Fractal Continuum,The Fractal Continuum (Hard)
744,e3e7,Kienkan,Kienkan
745,,0,0
746,e3fb,The Jade Stoa,The Jade Stoa
747,,0,0
748,z3o7,Sigmascape V1.0,Sigmascape V1.0
749,z3o8,Sigmascape V2.0,Sigmascape V2.0
750,z3o9,Sigmascape V3.0,Sigmascape V3.0
751,z3oa,Sigmascape V4.0,Sigmascape V4.0
752,z3o7_2,Sigmascape V1.0,Sigmascape V1.0
753,z3o8_2,Sigmascape V2.0,Sigmascape V2.0
754,z3o9_2,Sigmascape V3.0,Sigmascape V3.0
755,z3oa_2,Sigmascape V4.0,Sigmascape V4.0
756,z3e5,The Interdimensional Rift,The Interdimensional Rift
757,e0197,The Ruby Sea,The Ruby Sea
758,e3fb_2,The Jade Stoa,The Jade Stoa
759,e3ec,The Doman Enclave,The Doman Enclave
760,e0198,The Fringes,The Fringes
761,e3fc,The Great Hunt,The Great Hunt
762,e3fc_2,The Great Hunt,The Great Hunt
763,z3fb,Eureka Pagos,Eureka Pagos
764,e3e8,Reisen Temple,Reisen Temple
765,,0,0
766,,0,0
767,,0,0
768,e3d6,The Swallow's Compass,The Swallow's Compass
769,ec009,The Burn,The Burn
770,e3c1,Heaven-on-High,0
771,e3c2,Heaven-on-High,0
772,e3c3,Heaven-on-High,0
773,e3c4,Heaven-on-High,0
774,e3c5,Heaven-on-High,0
775,e3c6,Heaven-on-High,0
776,z3r2,The Ridorana Lighthouse,The Ridorana Lighthouse
777,w1fz,Ultimacy,Ultimacy
778,e3fd,Castrum Fluminis,Castrum Fluminis
779,e3fd_2,Castrum Fluminis,Castrum Fluminis
780,e3ed,Heaven-on-High,Heaven-on-High
781,e0199,Reisen Temple Road,Reisen Temple Road
782,e3c3_2,Heaven-on-High,0
783,e3c4_2,Heaven-on-High,0
784,e3c5_2,Heaven-on-High,0
785,e3c6_2,Heaven-on-High,0
786,e3ee,Castrum Fluminis,Castrum Fluminis
787,z3r2_event,The Ridorana Cataract,The Ridorana Cataract
788,d2d9,Saint Mocianne's Arboretum,Saint Mocianne's Arboretum (Hard)
789,,0,0
790,w1t1_5th,Ul'dah - Steps of Nald,Ul'dah - Steps of Nald
791,w1p1,Hidden Gorge,Hidden Gorge
792,w1eg,The Fall of Belah'dia,The Fall of Belah'dia
793,,0,0
794,o3c2,The Shifting Altars of Uznair,The Shifting Altars of Uznair
795,z3fc,Eureka Pyros,Eureka Pyros
796,w1tz,Blue Sky,Blue Sky
797,ec010,The Azim Steppe,The Azim Steppe
798,z3oc,Psiscape V1.0,Psiscape V1.0
799,z3od,Psiscape V2.0,Psiscape V2.0
800,z3oe,The Interdimensional Rift,The Interdimensional Rift
801,z3of,The Interdimensional Rift,The Interdimensional Rift
802,z3oc_2,Psiscape V1.0,Psiscape V1.0
803,z3od_2,Psiscape V2.0,Psiscape V2.0
804,z3oe_2,The Interdimensional Rift,The Interdimensional Rift
805,z3of_2,The Interdimensional Rift,The Interdimensional Rift
806,e3ff,Kugane Ohashi,Kugane Ohashi
807,z3e8,The Interdimensional Rift,The Interdimensional Rift
808,z3e9,The Interdimensional Rift,The Interdimensional Rift
809,f1d9_event,Haunted Manor,The Haunted Manor
810,e3fe,Hells' Kier,Hells' Kier
811,e3fe_2,Hells' Kier,Hells' Kier
812,z3e8_2,The Interdimensional Rift,The Interdimensional Rift
813,n4f1,Lakeland,Lakeland
814,n4f2,Kholusia,Kholusia
815,n4f3,Amh Araeng,Amh Araeng
816,n4f4,Il Mheg,Il Mheg
817,n4f5,The Rak'tika Greatwood,The Rak'tika Greatwood
818,n4f6,The Tempest,The Tempest
819,n4t1,The Crystarium,The Crystarium
820,n4t2,Eulmore,Eulmore
821,n4d2,Dohn Mheg,Dohn Mheg
822,n4d5,Mt. Gulg,Mt. Gulg
823,n4d3,The Qitana Ravel,The Qitana Ravel
824,e3fg,The Wreath of Snakes,The Wreath of Snakes
825,e3fg_2,The Wreath of Snakes,The Wreath of Snakes
826,z3r3,The Orbonne Monastery,The Orbonne Monastery
827,z3fd,Eureka Hydatos,Eureka Hydatos
828,z3e2_2,The <italic(1)>Prima Vista<italic(0)> Tiring Room,The <italic(1)>Prima Vista<italic(0)> Tiring Room
829,g3e7,Eorzean Alliance Headquarters,Eorzean Alliance Headquarters
830,ec011,The Ghimlyt Dark,The Ghimlyt Dark
831,w1eh,The Manderville Tables,0
832,w1ei,The Gold Saucer,0
833,r1fa_event2,The Howling Eye,The Howling Eye
834,r1fa_4,The Howling Eye,The Howling Eye
835,,0,0
836,n4d4,Malikah's Well,Malikah's Well
837,n4d1,Holminster Switch,Holminster Switch
838,n4d6,Amaurot,Amaurot
839,e0200,East Shroud,East Shroud
840,n4d7,The Twinning,The Twinning
841,n4d8,Akadaemia Anyder,Akadaemia Anyder
842,l1e5,The Syrcus Trench,The Syrcus Trench
843,n4ti,The Pendants Personal Suite,The Pendants Personal Suite
844,n4e1,The Ocular,The Ocular
845,n4fa,The Dancing Plague,The Dancing Plague
846,n4fb,The Crown of the Immaculate,The Crown of the Immaculate
847,n4fc,The Dying Gasp,The Dying Gasp
848,n4fb_2,The Crown of the Immaculate,The Crown of the Immaculate
849,n4g1,The Core,The Core
850,n4g2,The Halo,The Halo
851,n4g3,The Nereus Trench,The Nereus Trench
852,n4g4,Atlas Peak,Atlas Peak
853,n4g1_2,The Core,The Core
854,n4g2_2,The Halo,The Halo
855,n4g3_2,The Nereus Trench,The Nereus Trench
856,n4g4_2,Atlas Peak,Atlas Peak
857,n4gy,The Core,The Core
858,n4fa_2,The Dancing Plague,The Dancing Plague
859,ec012,The Confessional of Toupasa the Elder,The Confessional of Toupasa the Elder
860,ec013,Amh Araeng,Amh Araeng
861,e0201,Lakeland,Lakeland
862,e0202,Lakeland,Lakeland
863,e0203,Eulmore,Eulmore
864,e0204,Kholusia,Kholusia
865,e0205,Old Gridania,Old Gridania
866,e0206,Coerthas Western Highlands,Coerthas Western Highlands
867,e0207,Eastern La Noscea,Eastern La Noscea
868,e0208,The Peaks,The Peaks
869,e0209,Il Mheg,Il Mheg
870,e0210,Kholusia,Kholusia
871,e0211,The Rak'tika Greatwood,The Rak'tika Greatwood
872,e0212,Amh Araeng,Amh Araeng
873,ec014,The Dancing Plague,The Dancing Plague
874,ec015,The Rak'tika Greatwood,The Rak'tika Greatwood
875,ec016,The Rak'tika Greatwood,The Rak'tika Greatwood
876,ec017,The Nabaath Mines,Amh Araeng
877,n4f1_opening,Lakeland,Lakeland
878,n4gz,The Empty,The Empty
879,n4c1,The Dungeons of Lyhe Ghiah,The Dungeons of Lyhe Ghiah
880,n4fb_event,The Crown of the Immaculate,The Crown of the Immaculate
881,n4fc_event,The Dying Gasp,The Dying Gasp
882,n4r1,The Copied Factory,The Copied Factory
883,,0,0
884,n4d9,The Grand Cosmos,The Grand Cosmos
885,n4fd,The Dying Gasp,The Dying Gasp
886,r1hx,The Firmament,The Firmament
887,d2az,Liminal Space,Liminal Space
888,e3p1,Onsal Hakair,Onsal Hakair
889,n4e9_1,Lyhe Mheg,Lyhe Mheg
890,n4e9_2,Lyhe Mheg,Lyhe Mheg
891,n4e9_3,Lyhe Mheg,Lyhe Mheg
892,n4e9_4,Lyhe Mheg,Lyhe Mheg
893,ec018,The Imperial Palace,The Imperial Palace
894,ec019,Lyhe Mheg,Lyhe Mheg
895,n4e8,Excavation Tunnels,Excavation Tunnels
896,n4r1_event,The Copied Factory,The Copied Factory
897,n4fe,Cinder Drift,0
898,n4da,Anamnesis Anyder,Anamnesis Anyder
899,s1e8,The Falling City of Nym,The Falling City of Nym
900,o1a1,The <italic(1)>Endeavor<italic(0)>,The <italic(1)>Endeavor<italic(0)>
901,a2fx,The Diadem,The Diadem
902,n4g5,The Gandof Thunder Plains,The Gandof Thunder Plains
903,n4g6,Ashfall,Ashfall
904,n4g7,The Halo,The Halo
905,n4g8,Great Glacier,Great Glacier
906,n4g5_2,The Gandof Thunder Plains,The Gandof Thunder Plains
907,n4g6_2,Ashfall,Ashfall
908,n4g7_2,The Halo,The Halo
909,n4g8_2,Great Glacier,Great Glacier
910,,0,0
911,ec020,Cid's Memory,Cid's Memory
912,n4fe_2,Cinder Drift,0
913,n4b2,Transmission Control,Transmission Control
914,ec021,Trial's Threshold,Trial's Threshold
915,n4ea,Gangos,Gangos
916,n4db,The Heroes' Gauntlet,The Heroes' Gauntlet
917,n4r2,The Puppets' Bunker,The Puppets' Bunker
918,n4da_event,Anamnesis Anyder,Anamnesis Anyder
919,n4eb,Terncliff,Terncliff
920,n4b4,Bozjan Southern Front,Bozjan Southern Front
921,w1ef_2,Frondale's Home for Friendless Foundlings,Frondale's Home for Friendless Foundlings
922,n4ff,The Seat of Sacrifice,The Seat of Sacrifice
923,n4ff_2,The Seat of Sacrifice,The Seat of Sacrifice
924,n4c2,The Shifting Oubliettes of Lyhe Ghiah,The Shifting Oubliettes of Lyhe Ghiah
925,ec022,Terncliff Bay,Terncliff Bay
926,ec023,Terncliff Bay,Terncliff Bay
927,,0,0
928,n4r2_event,The Puppets' Bunker,The Puppets' Bunker
929,a2fx_2,The Diadem,The Diadem
930,,0,0
931,n4ff_event,The Seat of Sacrifice,The Seat of Sacrifice
932,ec024,The Tempest,The Tempest
933,d4d1,Matoya's Relict,Matoya's Relict
934,n4fg,Castrum Marinum Drydocks,Castrum Marinum Drydocks
935,n4fg_2,Castrum Marinum Drydocks,Castrum Marinum Drydocks
936,n4b5,Delubrum Reginae,Delubrum Reginae
937,n4b5_2,Delubrum Reginae,Delubrum Reginae
938,w4d1,Paglth'an,Paglth'an
939,a2fx_3,The Diadem,The Diadem
940,w1ee_2,The Battlehall,The Battlehall
941,w1ee_3,The Battlehall,The Battlehall
942,n4g9,Sphere of Naught,Sphere of Naught
943,n4ga,Laxan Loft,Laxan Loft
944,n4gb,Bygone Gaol,Bygone Gaol
945,n4gc,The Garden of Nowhere,The Garden of Nowhere
946,n4g9_2,Sphere of Naught,Sphere of Naught
947,n4ga_2,Laxan Loft,Laxan Loft
948,n4gb_2,Bygone Gaol,Bygone Gaol
949,n4gc_2,The Garden of Nowhere,The Garden of Nowhere
950,n4fh,G-Savior Deck,G-Savior Deck
951,n4fh_2,G-Savior Deck,G-Savior Deck
952,m5d1,The Tower of Zot,The Tower of Zot
953,,0,0
954,ec025,The Navel,The Navel
955,ec026,The Last Trace,The Last Trace
956,k5f1,Labyrinthos,Labyrinthos
957,m5f1,Thavnair,Thavnair
958,m5f2,Garlemald,Garlemald
959,u5f1,Mare Lamentorum,Mare Lamentorum
960,u5f2,Ultima Thule,Ultima Thule
961,n5f1,Elpis,Elpis
962,k5t1,Old Sharlayan,Old Sharlayan
963,m5t1,Radz-at-Han,Radz-at-Han
964,n4b5_event,The Last Trace,The Last Trace
965,n4gz_3,The Empty,The Empty
966,n4r3,The Tower at Paradigm's Breach,The Tower at Paradigm's Breach
967,n4fg_event,Castrum Marinum Drydocks,Castrum Marinum Drydocks
968,r1fz,Medias Res,Medias Res
969,m5d2,The Tower of Babil,The Tower of Babil
970,m5d3,Vanaspati,Vanaspati
971,w1ej,Lemures Headquarters,Lemures Headquarters
972,,0,0
973,u5d1,The Dead Ends,The Dead Ends
974,n5d1,Ktisis Hyperboreia,Ktisis Hyperboreia
975,n4b6,Zadnor,Zadnor
976,u5d2,Smileton,Smileton
977,ec027,Carteneau Flats: Borderland Ruins,Carteneau Flats: Borderland Ruins
978,k5d1,The Aitiascope,The Aitiascope
979,r1h1,Empyreum,Empyreum
980,r1i1,Private Cottage - Empyreum,Private Cottage - Empyreum
981,r1i2,Private House - Empyreum,Private House - Empyreum
982,r1i3,Private Mansion - Empyreum,Private Mansion - Empyreum
983,r1i4,Private Chambers - Empyreum,Private Chambers - Empyreum
984,r1i5,Company Workshop - Empyreum,Company Workshop - Empyreum
985,r1i6,Ingleside Apartment Lobby,Ingleside Apartment Lobby
986,u5d3,The Stigma Dreamscape,The Stigma Dreamscape
987,k5e1,Main Hall,Main Hall
988,m5e1,0,0
989,k5e2,0,0
990,k5ti,Andron,Andron
991,n4fh_event,G-Savior Deck,G-Savior Deck
992,u5fa,The Dark Inside,The Dark Inside
993,u5fa_2,The Dark Inside,The Dark Inside
994,f1db,The Phantoms' Feast,The Phantoms' Feast
995,k5fa,The Mothercrystal,The Mothercrystal
996,k5fa_2,The Mothercrystal,The Mothercrystal
997,u5fb,The Final Day,The Final Day
998,u5fb_2,The Final Day,The Final Day
999,r1i4_2,Ingleside Apartment,Ingleside Apartment
1000,u5c1,The Excitatron 6000,The Excitatron 6000
1001,r2ea,Strategy Room,Strategy Room
1002,n5r1,The Gates of Pandæmonium,The Gates of Pandæmonium
1003,n5r1_2,The Gates of Pandæmonium,The Gates of Pandæmonium
1004,n5r2,The Stagnant Limbo,The Stagnant Limbo
1005,n5r2_2,The Stagnant Limbo,The Stagnant Limbo
1006,n5r3,The Fervid Limbo,The Fervid Limbo
1007,n5r3_2,The Fervid Limbo,The Fervid Limbo
1008,n5r4,The Sanguine Limbo,The Sanguine Limbo
1009,n5r4_2,The Sanguine Limbo,The Sanguine Limbo
1010,ec028,Magna Glacies,Magna Glacies
1011,ec029,Garlemald,Garlemald
1012,ec030,Magna Glacies,Magna Glacies
1013,ec031,Beyond the Stars,Beyond the Stars
1014,ec032,Elpis,Elpis
1015,ec033,Central Shroud,Central Shroud
1016,ec034,Sastasha,Sastasha
1017,ec035,The Swallow's Compass,The Swallow's Compass
1018,ec036,The Vault,The Vault
1019,ec037,The Peaks,The Peaks
1020,ec038,Cutter's Cry,Cutter's Cry
1021,ec039,Dusk Vigil,Dusk Vigil
1022,ec040,Saint Mocianne's Arboretum,Saint Mocianne's Arboretum
1023,ec041,The Dravanian Forelands,The Dravanian Forelands
1024,m5e3,The Nethergate,The Nethergate
1025,n5r0,The Gates of Pandæmonium,The Gates of Pandæmonium
1026,u5e1,Beyond the Stars,Beyond the Stars
1027,u5f2_event,Ultima Thule,Ultima Thule
1028,u5fa_event,The Dark Inside,The Dark Inside
1029,u5fb_event,The Final Day,The Final Day
1030,k5fa_event,The Mothercrystal,The Mothercrystal
1031,n5e1,Propylaion,Propylaion
1032,s5p1,The Palaistra,The Palaistra
1033,s5p2,The Volcanic Heart,The Volcanic Heart
1034,s5p3,Cloud Nine,Cloud Nine
1035,,0,0
1036,s1d1_re,Sastasha,Sastasha
1037,f1d1_re,The Tam-Tara Deepcroft,The Tam-Tara Deepcroft
1038,w1d1_re,Copperbell Mines,Copperbell Mines
1039,f1r1_re,The Thousand Maws of Toto-Rak,The Thousand Maws of Toto-Rak
1040,f1d2_re,Haukke Manor,Haukke Manor
1041,s1d2_re,Brayflox's Longstop,Brayflox's Longstop
1042,r1d1_re,Stone Vigil,Stone Vigil
1043,w1d4_re,Castrum Meridianum,Castrum Meridianum
1044,w1d5_re,The Praetorium,The Praetorium
1045,w1fa_re,Bowl of Embers,Bowl of Embers
1046,s1fa_re,The Navel,The Navel
1047,r1fa_re,The Howling Eye,The Howling Eye
1048,w1d5_battle,Porta Decumana,Porta Decumana
1049,ec043,Western Thanalan,Western Thanalan
1050,m5d4,Alzadaal's Legacy,Alzadaal's Legacy
1051,ec042,The Tower of Babil,The Tower of Babil
1052,ec044,The Porta Decumana,The Porta Decumana
1053,w1d5_event,The Porta Decumana,The Porta Decumana
1054,z5r1,Aglaia,Aglaia
1055,h1m2,Unnamed Island,Unnamed Island
1056,m5d4_event,Alzadaal's Legacy,Alzadaal's Legacy
1057,k5e4,Restricted Archives,Restricted Archives
1058,s5p1_ctm,The Palaistra,The Palaistra
1059,s5p2_ctm,The Volcanic Heart,The Volcanic Heart
1060,s5p3_ctm,Cloud Nine,Cloud Nine
1061,z5e1,The Omphalos,The Omphalos
1062,r1d3_re,Snowcloak,Snowcloak
1063,l1d1_re,The Keeper of the Lake,The Keeper of the Lake
1064,d2d1_re,Sohm Al,Sohm Al Foothills
1065,d2d2_re,The Aery,The Aery
1066,r2d2_re,The Vault,The Vault
1067,f1fa_re,Thornmarch,Thornmarch
1068,ec045,Steps of Faith,Steps of Faith
1069,w5d1,The Sil'dihn Subterrane,The Sil'dihn Subterrane
1070,z5d1,The Fell Court of Troia,The Fell Court of Troia
1071,z5fa,Storm's Crown,Storm's Crown
1072,z5fa_2,Storm's Crown,Storm's Crown
1073,u5e3,Elysion,Elysion
1074,,0,0
1075,w5d2,Another Sil'dihn Subterrane,Another Sil'dihn Subterrane
1076,w5d2_2,Another Sil'dihn Subterrane,Another Sil'dihn Subterrane
1077,z5e4,Zero's Domain,Zero's Domain
1078,m5e4,Meghaduta Guest Chambers,Meghaduta Guest Chambers
1079,k5e5,The Aitiascope,The Aitiascope
1080,,0,0
1081,n5r5,The Caustic Purgatory,The Caustic Purgatory
1082,n5r5_2,The Caustic Purgatory,The Caustic Purgatory
1083,n5r6,The Pestilent Purgatory,The Pestilent Purgatory
1084,n5r6_2,The Pestilent Purgatory,The Pestilent Purgatory
1085,n5r7,The Hollow Purgatory,The Hollow Purgatory
1086,n5r7_2,The Hollow Purgatory,The Hollow Purgatory
1087,n5r8,Stygian Insenescence Cells,Stygian Insenescence Cells
1088,n5r8_2,Stygian Insenescence Cells,Stygian Insenescence Cells
1089,z5d1_event,The Fell Court of Troia,The Fell Court of Troia
1090,,0,0
1091,ec046,The Fell Court of Troia,The Fell Court of Troia
1092,z5fa_event,Storm's Crown,Storm's Crown
1093,n5r8_event,Stygian Insenescence Cells,Stygian Insenescence Cells
1094,f1ea,Sneaky Hollow,Sneaky Hollow
1095,m5fa,Mount Ordeals,Mount Ordeals
1096,m5fa_2,Mount Ordeals,Mount Ordeals
1097,m5d5,Lapis Manalis,Lapis Manalis
1098,f1eb,Sylphstep,Sylphstep
1099,l5c1,Eureka Orthos,0
1100,l5c2,Eureka Orthos,0
1101,l5c3,Eureka Orthos,0
1102,l5c3_2,Eureka Orthos,0
1103,l5c4,Eureka Orthos,0
1104,l5c4_2,Eureka Orthos,0
1105,l5c5,Eureka Orthos,0
1106,l5c5_2,Eureka Orthos,0
1107,l5c6,Eureka Orthos,0
1108,l5c6_2,Eureka Orthos,0
1109,d2d3_re,The Great Gubal Library,The Great Gubal Library
1110,a2d1_re,Aetherochemical Research Facility,Aetherochemical Research Facility
1111,d2d5_re,The Antitower,The Antitower
1112,d2d6_re,Sohr Khai,Sohr Khai
1113,r2d3_re,Xelphatol,Xelphatol
1114,f1da_re,Baelsar's Wall,Baelsar's Wall
1115,ec047,The Tower of Babil,The Tower of Babil
1116,s5p4,The Clockwork Castletown,The Clockwork Castletown
1117,s5p4_ctm,The Clockwork Castletown,The Clockwork Castletown
1118,z5r2,Euphrosyne,Euphrosyne
1119,m5d5_event,Lapis Manalis,Lapis Manalis
1120,ec048,Garlemald,Garlemald
1121,,0,0
1122,z3oz,The Interdimensional Rift,The Interdimensional Rift
1123,n5c1,The Shifting Gymnasion Agonon,The Shifting Gymnasion Agonon
1124,l5c0,Eureka Orthos,Eureka Orthos
1125,m5e6,Khadga,Khadga
1126,k5d2,The Aetherfont,The Aetherfont
1127,s1p6_begin01,The Fold,The Fold
1128,s1p6_begin02,The Fold,The Fold
1129,s1p6_begin03,The Fold,The Fold
1130,,0,0
1131,,0,0
1132,,0,0
1133,,0,0
1134,,0,0
1135,,0,0
1136,m5fb,The Gilded Araya,The Gilded Araya
1137,e5d1,Mount Rokkon,Mount Rokkon
1138,s5p5,The Red Sands,The Red Sands
1139,s5p5_ctm,The Red Sands,The Red Sands
1140,z5fb,The Voidcast Dais,The Voidcast Dais
1141,z5fb_2,The Voidcast Dais,The Voidcast Dais
1142,o3d1_re,The Sirensong Sea,The Sirensong Sea
1143,e3d2_re,Bardam's Mettle,Bardam's Mettle
1144,e3d3_re,Doma Castle,Doma Castle
1145,g3d1_re,Castrum Abania,Castrum Abania
1146,g3d2_re,Ala Mhigo,Ala Mhigo
1147,n5r9,The Aetherial Slough,The Aetherial Slough
1148,n5r9_2,The Aetherial Slough,The Aetherial Slough
1149,n5ra,The Dæmons' Nest,The Dæmons' Nest
1150,n5ra_2,The Dæmons' Nest,The Dæmons' Nest
1151,n5rb,The Chamber of Fourteen,The Chamber of Fourteen
1152,n5rb_2,The Chamber of Fourteen,The Chamber of Fourteen
1153,n5rc,Ascension,Ascension
1154,n5rc_2,Ascension,Ascension
1155,e5d2,Another Mount Rokkon,Another Mount Rokkon
1156,e5d2_2,Another Mount Rokkon,Another Mount Rokkon
1157,,0,0
1158,n5ra_event,The Dæmons' Nest,The Dæmons' Nest
1159,z5fb_event,The Voidcast Dais,The Voidcast Dais
1160,m5e7,Senatus,Senatus
1161,m5e5,Estinien's Chambers,Estinien's Chambers
1162,z5e5,The Red Moon,The Red Moon
1163,o1a2,The <italic(1)>Endeavor<italic(0)>,The <italic(1)>Endeavor<italic(0)>
1164,z5d2,The Lunar Subterrane,The Lunar Subterrane
1165,w1ek,Blunderville,Blunderville
1166,w1fd,The Memory of Embers,The Memory of Embers
1167,y6d1,Ihuykatumu,Ihuykatumu
1168,z5fc,The Abyssal Fracture,The Abyssal Fracture
1169,z5fc_2,The Abyssal Fracture,The Abyssal Fracture
1170,y6e1,Sunperch,Sunperch
1171,x6e1,Earthen Sky Hideout,Earthen Sky Hideout
1172,g3d4_re,The Drowned City of Skalla,The Drowned City of Skalla
1173,e3d7_re,The Burn,The Burn
1174,g3d5_re,The Ghimlyt Dark,The Ghimlyt Dark
1175,,0,0
1176,o5d1,Aloalo Island,Aloalo Island
1177,ec049,The Aetherfont,The Aetherfont
1178,z5r3,Thaleia,Thaleia
1179,o5d2,Another Aloalo Island,Another Aloalo Island
1180,o5d2_2,Another Aloalo Island,Another Aloalo Island
1181,z5fc_event,The Abyssal Fracture,The Abyssal Fracture
1182,z5r3_event,Thaleia,Thaleia
1183,m5fb_event,The Gilded Araya,The Gilded Araya
1184,z5d2_event,The Lunar Subterrane,The Lunar Subterrane
1185,y6t1,Tuliyollal,Tuliyollal
1186,x6t1,Solution Nine,Solution Nine
1187,y6f1,Urqopacha,Urqopacha
1188,y6f2,Kozama'uka,Kozama'uka
1189,y6f3,Yak T'el,Yak T'el
1190,x6f1,Shaaloani,Shaaloani
1191,x6f2,Heritage Found,Heritage Found
1192,x6f3,Living Memory,Living Memory
1193,y6d2,Worqor Zormor,Worqor Zormor
1194,y6d3,The Skydeep Cenote,The Skydeep Cenote
1195,y6fa,Worqor Lar Dor,Worqor Lar Dor
1196,y6fa_2,Worqor Lar Dor,Worqor Lar Dor
1197,w1el,Blunderville Square,Blunderville Square
1198,x6d1,Vanguard,Vanguard
1199,x6d3,Alexandria,Alexandria
1200,x6fa,Summit of Everkeep,Summit of Everkeep
1201,x6fa_2,Summit of Everkeep,Summit of Everkeep
1202,x6fb,Interphos,Interphos
1203,x6d4,Tender Valley,Tender Valley
1204,x6d5,Strayborough,Strayborough
1205,y6ti,The For'ard Cabins,The For'ard Cabins
1206,y6e3,Main Deck,Main Deck
1207,x6e2,The Backroom,The Backroom
1208,x6d2,Origenics,Origenics
1209,y6c1,Cenote Ja Ja Gural,Cenote Ja Ja Gural
1210,ec050,Sunperch,Sunperch
1211,ec051,Yak T'el,Yak T'el
1212,ec052,Yak T'el,Yak T'el
1213,ec053,Solution Nine,Solution Nine
1214,ec054,The Sea of Clouds,The Sea of Clouds
1215,ec055,Brayflox's Longstop,Brayflox's Longstop
1216,ec056,Bardam's Mettle,Bardam's Mettle
1217,ec057,Ala Mhigo,The Hall of the Griffin
1218,ec058,Khadga,Khadga
1219,x6d1_event,Vanguard,Vanguard
1220,x6fa_event,Summit of Everkeep,Summit of Everkeep
1221,x6fb_event,Interphos,Interphos
1222,y6e2,Skydeep Cenote Inner Chamber,Skydeep Cenote Inner Chamber
1223,x6e4,Tritails Training,Tritails Training
1224,x6e5,Greenroom,Greenroom
1225,x6r1,Scratching Ring,Scratching Ring
1226,x6r1_2,Scratching Ring,Scratching Ring
1227,x6r2,Lovely Lovering,Lovely Lovering
1228,x6r2_2,Lovely Lovering,Lovely Lovering
1229,x6r3,Blasting Ring,Blasting Ring
1230,x6r3_2,Blasting Ring,Blasting Ring
1231,x6r4,The Thundering,The Thundering
1232,x6r4_2,The Thundering,The Thundering
1233,ec059,Manor Basement,Manor Basement
1234,ec060,Dreamlike Palace,Dreamlike Palace
1235,ec061,Central Thanalan,Central Thanalan
1236,ec062,Southern Thanalan,Southern Thanalan
1237,c1w1,Sinus Ardorum,Sinus Ardorum
1238,n4gw,A Future Rewritten,A Future Rewritten
1239,,0,0
1240,,0,0
1241,l1rz,Sphere of Naught,Sphere of Naught
1242,x6d6,Yuweyawata,Yuweyawata
1243,x6fc,Interphos,Interphos
1244,ec063,Shaaloani,Shaaloani
1245,w1d2_re,Halatali,Halatali
1246,ec064,Zorgor the Boundless,Zorgor the Boundless
1247,f1ec,Starlight Stalls,Starlight Stalls
1248,z6r1,Jeuno: The First Walk,Jeuno: The First Walk
1249,h1i1,0,0
1250,h1i2,0,0
1251,h1i3,0,0
1252,o6b1,South Horn,South Horn
1253,f1ec_2,Starlight Stalls,Starlight Stalls
1254,x6d6_event,Yuweyawata,Yuweyawata
1255,w1em,Hall of the Unbound,Hall of the Unbound
1256,x6r5,Groovy Ring,Groovy Ring
1257,x6r5_2,Groovy Ring,Groovy Ring
1258,x6r6,Rebel Ring,Rebel Ring
1259,x6r6_2,Rebel Ring,Rebel Ring
1260,x6r7,Demolition Site,Demolition Site
1261,x6r7_2,Demolition Site,Demolition Site
1262,x6r8,Hunter's Ring,Hunter's Ring
1263,x6r8_2,Hunter's Ring,Hunter's Ring
1264,z6e1,Lower Jeuno,Lower Jeuno
1265,z6e1_2,Lower Jeuno,Lower Jeuno
1266,x6d7,The Underkeep,The Underkeep
1267,w1d3_re,The Sunken Temple of Qarn,The Sunken Temple of Qarn
1268,x6e8,Break Room,Break Room
1269,o6e1,Phantom Village,Phantom Village
1270,x6fd,Recollection,Recollection
1271,x6fd_2,Recollection,Recollection
1272,,0,0
1273,l1p3,Carteneau Flats: Borderland Ruins,Carteneau Flats: Borderland Ruins
1274,x6e9,Throne Room,Throne Room
1275,x6fd_event,Recollection,Recollection
1276,x6r7_event,Demolition Site,Demolition Site
1277,o6e2,Main Deck,Main Deck
1278,o6e1_2,Phantom Village,Phantom Village
1279,x6c1,Vault Oneiron,Vault Oneiron
1280,n6c0,Pilgrim's Traverse,Pilgrim's Traverse
1281,n6c1,Pilgrim's Traverse,0
